02P2C-1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40004,4.320432,8.40084,7.990799,7.110711,6.710671,6.340634,6.10061,5.830583,5.590559,5.40054,5.240524,5.060506,5.020502,4.690469,4.630463,3.970397,3.260326,2.310231,1.320132,0.30003,0,0
02P2C-3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005898,0.389899,3.849003,6.968195,6.898213,6.458327,6.358353,6.278374,6.008444,5.928465,5.678529,5.238643,4.958716,4.688786,4.47884,4.328879,4.258897,3.978969,3.908988,3.329138,2.729293,1.919503,1.099715,0.259933,0,0
02P2C-5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000099,0.005207,0.009633,0.006769,0.008071,0.013277,0.048423,0.112988,0.166357,0.26815,0.39832,0.499853,0.463405,0.283771,0.117153,0.044779,0.026555,0.020307,0.01562,0.010934,0.013977,0.425795,4.078344,7.184482,6.891278,6.335129,6.15905,6.022187,5.748982,5.670551,5.436691,5.037168,4.793544,4.530493,4.335745,4.189898,4.112352,3.83045,3.762799,3.187953,2.613107,1.8332,1.043399,0.243755,0,0
02P2D-0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,4.98,9.51,8.78,7.54,6.84,6.19,5.85,5.55,5.31,5.18,5.05,4.87,4.82,4.45,4.35,3.69,2.99,2.11,1.2,0.27,0,0
02P2D-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390039,4.080408,7.910791,7.830783,7.310731,6.970697,6.640664,6.340634,5.920592,5.60056,5.350535,5.160516,4.990499,4.970497,4.670467,4.630463,3.980398,3.280328,2.330233,1.330133,0.310031,0,0
02P2D-3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.400016,3.900156,7.060282,7.01028,6.590264,6.470259,6.360254,6.060242,5.940238,5.670227,5.230209,4.940198,4.660186,4.450178,4.280171,4.190168,3.900156,3.820153,3.24013,2.650106,1.860074,1.060042,0.25001,0,0
02P2D-5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004543,0.075528,0.160426,0.266051,0.457143,0.599113,0.573558,0.349246,0.124933,0.04827,0.031801,0.017888,0.013913,0.015901,0.012493,0.007382,0.006815,0.435173,4.554215,8.788713,8.262626,7.251588,6.706921,6.182225,5.87134,5.570142,5.307808,5.142522,4.977264,4.773311,4.715413,4.356486,4.259894,3.618634,2.938225,2.072644,1.177432,0.272419,0,0
02P3A-0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054003,2.010121,6.550393,7.440446,7.040422,6.810409,6.620397,6.240374,6.030362,5.720343,5.240314,4.950297,4.690281,4.490269,4.360262,4.300258,4.020241,3.970238,3.370202,2.770166,1.950117,1.110067,0.260016,0,0
02P3A-1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,4.94,9.49,8.83,7.65,6.98,6.34,5.97,5.63,5.35,5.18,5.01,4.8,4.73,4.36,4.25,3.6,2.92,2.06,1.17,0.27,0,0
02P3A-3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158,0.013029,0.068637,0.125873,0.234993,0.35598,0.48162,0.465333,0.274547,0.109586,0.045603,0.026291,0.016054,0.012564,0.011401,0.014311,0.367883,3.610199,6.608812,6.647181,6.323949,6.273952,6.224653,5.970253,5.882353,5.628418,5.188684,4.905449,4.621889,4.397138,4.24094,4.153412,3.870643,3.802741,3.226505,2.64027,1.858002,1.056224,0.24447,0,0
